question_id,source,generated_question,correct_answer
2,IA_8.pdf_p2,Is Bazat˘a pe model ADP ( Adaptive Dynamic Programming )?,Bazat˘a pe model is ADP (Adaptive Dynamic Programming)
3,IA_8.pdf_p2,Is F˘ar˘a model Estimarea direct˘a a utilit˘atii?,F˘ar˘a model is Estimarea direct˘a a utilit˘atii
4,IA_8.pdf_p2,Is F˘ar˘a model diferentelor temporale?,F˘ar˘a model is diferentelor temporale
8,IA_8.pdf_p4,"Are , Agentul nu control asupra actiunilor sale ?",", Agentul nu are control asupra actiunilor sale."
13,IA_8.pdf_p4,Is Pasiv˘a agentulˆınvat˘a utilitatea de a fiˆın anumite st˘ari ?,Pasiv˘a is agentulˆınvat˘a utilitatea de a fiˆın anumite st˘ari.
14,IA_8.pdf_p4,Are Agentul nu control asupra actiunilor sale . Aplicatii is robotic˘a ?,Agentul nu are control asupra actiunilor sale. Aplicatii is robotic˘a.
15,IA_8.pdf_p4,Is Activ˘a agentul trebuie s˘aˆınvete ce s˘a fac˘a ?,Activ˘a is agentul trebuie s˘aˆınvete ce s˘a fac˘a.
17,IA_8.pdf_p5,Is F˘ar˘a model descoper˘a politica optim˘a f˘ar˘a aˆınv˘ata modelul?,F˘ar˘a model is descoper˘a politica optim˘a f˘ar˘a aˆınv˘ata modelul
22,IA_8.pdf_p7,Is Politica este fix˘a ˆın starea s execut˘aˆıntotdeauna actiunea π ( s )?,Politica este fix˘a is ˆın starea s execut˘aˆıntotdeauna actiunea π(s)
23,IA_8.pdf_p7,Is Scopul ˆınvat˘a cˆat de bun˘a este politica π?,Scopul is ˆınvat˘a cˆat de bun˘a este politica π
35,IA_8.pdf_p10,Is Inv˘atarea bazat˘a pe model Programarea dinamic˘a?,Inv˘atarea bazat˘a pe model is Programarea dinamic˘a
44,IA_8.pdf_p12,Is ( cid 88 )?,(cid is 88)
45,IA_8.pdf_p12,Is Jocul de table 1020 ecuatii cu 1020 necunoscute?,Jocul de table is 1020 ecuatii cu 1020 necunoscute
49,IA_8.pdf_p14,Is Inv˘atare f˘ar˘a model Estimarea direct˘a a utilit˘atii?,Inv˘atare f˘ar˘a model is Estimarea direct˘a a utilit˘atii
